도착시간(hhmm),배터리용량,현배터리상태(가정),80%충전까지 남은 충전용량(E구하는데 필요한 요소),충전소요시간(80%충전기준)(식),예상 자동차 종류(가정)
1638,64,30%,50.0%,4.571428571,기아 니로
1640,58,30%,50.0%,4.142857143,현대 아이오닉5
1642,64,10%,70.0%,6.4,기아 니로
1644,27,20%,60.0%,2.314285714,기아 쏘울
1646,28,40%,40.0%,1.6,현대 아이오닉
1648,40,15%,65.0%,3.714285714,닛산 리프
1650,28,25%,55.0%,2.2,현대 아이오닉
1700,40,70%,10.0%,0.571428571,닛산 리프
1702,26.6,45%,35.0%,1.33,르노 삼성 SM3 ZE
1704,64,25%,55.0%,5.028571429,기아 니로
1706,40,65%,15.0%,0.857142857,닛산 리프
1708,40,15%,65.0%,3.714285714,닛산 리프
1710,28,30%,50.0%,2,현대 아이오닉
1712,60,65%,15.0%,1.285714286,쉐보레 볼트
1714,26.6,30%,50.0%,1.9,르노 삼성 SM3 ZE
1716,27,50%,30.0%,1.157142857,기아 쏘울
1718,60,40%,40.0%,3.428571429,쉐보레 볼트
1720,58.8,65%,15.0%,1.26,기아 봉고3
1722,58.8,55%,25.0%,2.1,기아 봉고3
1724,40,35%,45.0%,2.571428571,닛산 리프
1726,64,45%,35.0%,3.2,현대 코나
1728,58.8,70%,10.0%,0.84,기아 봉고3
1730,28,40%,40.0%,1.6,현대 아이오닉
1732,28,55%,25.0%,1,현대 아이오닉
1734,58.8,50%,30.0%,2.52,기아 봉고3
1736,58.8,15%,65.0%,5.46,현대 포터
1738,58,20%,60.0%,4.971428571,현대 아이오닉5
1740,64,55%,25.0%,2.285714286,기아 니로
1742,58.8,45%,35.0%,2.94,기아 봉고3
1744,37.9,55%,25.0%,1.353571429,BMW i3
1746,58.8,40%,40.0%,3.36,기아 봉고3
1748,64,10%,70.0%,6.4,기아 니로
1750,16,35%,45.0%,1.028571429,기아 레이
1752,26.6,10%,70.0%,2.66,르노 삼성 SM3 ZE
1800,58,25%,55.0%,4.557142857,현대 아이오닉5
1803,26.6,25%,55.0%,2.09,르노 삼성 SM3 ZE
1806,58.8,20%,60.0%,5.04,기아 봉고3
1809,27,45%,35.0%,1.35,기아 쏘울
1812,58.8,10%,70.0%,5.88,현대 포터
1815,58,10%,70.0%,5.8,현대 아이오닉5
1818,26.6,50%,30.0%,1.14,르노 삼성 SM3 ZE
1821,28,20%,60.0%,2.4,현대 아이오닉
1824,16,30%,50.0%,1.142857143,기아 레이
1827,64,50%,30.0%,2.742857143,기아 니로
1830,64,65%,15.0%,1.371428571,현대 코나
1833,26.6,20%,60.0%,2.28,르노 삼성 SM3 ZE
1836,60,50%,30.0%,2.571428571,쉐보레 볼트
1839,16,65%,15.0%,0.342857143,기아 레이
1842,27,50%,30.0%,1.157142857,기아 쏘울
1845,37.9,15%,65.0%,3.519285714,BMW i3
1848,40,30%,50.0%,2.857142857,닛산 리프
1851,58.8,65%,15.0%,1.26,현대 포터
1854,26.6,70%,10.0%,0.38,르노 삼성 SM3 ZE
1857,64,20%,60.0%,5.485714286,현대 코나
1859,58.8,40%,40.0%,3.36,기아 봉고3
1900,37.9,45%,35.0%,1.895,BMW i3
1904,37.9,45%,35.0%,1.895,BMW i3
1908,26.6,20%,60.0%,2.28,르노 삼성 SM3 ZE
1912,16,50%,30.0%,0.685714286,기아 레이
1916,60,65%,15.0%,1.285714286,쉐보레 볼트
1920,27,20%,60.0%,2.314285714,기아 쏘울
1924,40,70%,10.0%,0.571428571,닛산 리프
1928,60,35%,45.0%,3.857142857,쉐보레 볼트
1932,64,40%,40.0%,3.657142857,기아 니로
1936,58,40%,40.0%,3.314285714,현대 아이오닉5
1940,58,70%,10.0%,0.828571429,현대 아이오닉5
1944,26.6,10%,70.0%,2.66,르노 삼성 SM3 ZE
1948,28,55%,25.0%,1,현대 아이오닉
1952,64,15%,65.0%,5.942857143,기아 니로
1956,58.8,20%,60.0%,5.04,현대 포터
1958,28,25%,55.0%,2.2,현대 아이오닉
2000,37.9,25%,55.0%,2.977857143,BMW i3
2004,64,50%,30.0%,2.742857143,기아 니로
2008,58.8,45%,35.0%,2.94,현대 포터
2012,37.9,70%,10.0%,0.541428571,BMW i3
2016,64,15%,65.0%,5.942857143,기아 니로
2020,40,30%,50.0%,2.857142857,닛산 리프
2024,28,35%,45.0%,1.8,현대 아이오닉
2028,64,55%,25.0%,2.285714286,현대 코나
2032,60,35%,45.0%,3.857142857,쉐보레 볼트
2036,16,35%,45.0%,1.028571429,기아 레이
2040,27,55%,25.0%,0.964285714,기아 쏘울
2044,64,25%,55.0%,5.028571429,기아 니로
2048,64,15%,65.0%,5.942857143,현대 코나
2052,64,70%,10.0%,0.914285714,기아 니로
2100,37.9,15%,65.0%,3.519285714,BMW i3
2103,64,35%,45.0%,4.114285714,현대 코나
2106,58,50%,30.0%,2.485714286,현대 아이오닉5
2109,64,20%,60.0%,5.485714286,기아 니로
2112,58.8,55%,25.0%,2.1,현대 포터
2115,37.9,10%,70.0%,3.79,BMW i3
2118,60,25%,55.0%,4.714285714,쉐보레 볼트
2121,64,70%,10.0%,0.914285714,현대 코나
2124,26.6,40%,40.0%,1.52,르노 삼성 SM3 ZE
2127,16,30%,50.0%,1.142857143,기아 레이
